,Name,Sex,Abdominal_pain,Abdominal_distention_left_side,Anemia,Anorexia,Blood_in_feaces,Blood_in_urine,Blood_leakage_from_natural_holes_of_dead_animal,Bottle_jaw,Change_in_diet,Changed_milk_taste,Circling,Cough,Constipation,Crepitation,Depression,Dehydration,Dental_pad,Diarrhea,Difficult_movement,Dog_bite,Dyspnea,Eat_cloth_bones,Emaciation,Enlarged_lymph_nodes,Excitements,Facial_distortion,Faulty_drenching,Feet_foul_odor,Feet_lesions,Fever,Gas_accumulation,Hair_loss,Hard_feaces,Hard_Tongue,Head_pressing,Increased_heart_rate,Itching,Itching_in_Nose,Knee_swelling,Lameness,Lose_feaces,Milk_abnormalities,Milk_reduction,Mouth_discharge,Mouth_frothing,Mouth_lesions,Moving_in_circle,Nasal_discharge,Neck_swelling,Necrotic_stomatitis,Ocular_discharge,Oculonasal_discharge,Off_feed,Overfeeding,Paralysis,Pica,Phoyophia,Poor_growth,Pox_lesion,Red_moist_feet,Respiratory_distress,Restlessness,Ruptured_Lymph_Nodes,Salivation,Severe_itching,Skin_lesion_red,Skin_lesion,Sneezing,Subnormal_temperature,Sudden_death,Swollen_joints,Swollen_Jaw,Tachypnea,Teat_hole_blockage,Teats_inflammation,Teats_lesions,Temperature_fluctuation,Ticks_presence,Tick_worry,Tremors,Udder_infection,Udder_inflammation,Udder_lesion,Unable_to_stand,Uncoordinated_movements,Urine_block,Vaginal_infection,Vaginal_discharge,Wasting,Weakness,Weight_loss,Wheezes,Worms_in_feaces,Wounded,Yellow_eyes,Yellow_mucous_membrane,DiseaseName.1
,Cattle,Male,,,0.9,,,,0.9,,,,,,,,0.9,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthrax
,Buffalo,Male,,,,,,,0.9,,,,,,,,0.9,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthrax
,Buffalo,Male,,,,,,,0.9,,,,,,,,0.9,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthrax
,Cattle,Female,,,,,,,0.9,,,,,,,,0.9,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthrax
,Cattle ,Female,,,0.9,0.9,,,0.9,,,,,,,,0.9,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthrax
,Goat,Male,,,0.9,0.9,,,0.9,,,,,,,,,,,,0.9,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,Anthrax
,Cattle,Male,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthrax
486,Goat,Male,,,,,,,,,,,,,,,,,,,Difficulty/pain in movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swelling in joints,,,,,,,,,,,,,,,,,,,,,,,,,,Arthritis
2,Buffalo,Male,,,Anemia,,,Blood in urine,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salivation or Excessive salivation,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight loss,,,,,,Babesiosis
34,Buffalo,Male,,,,,,Blood in urine,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babesiosis
96,Buffalo,Female,,,Anemia,,,Blood in urine,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight loss,,,,Yellow/Pale Eyes,Yellow Mucous Membrane,Babesiosis
97,Buffalo,Female,,,Anemia,,,Blood in urine,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salivation or Excessive salivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow/Pale Eyes,Yellow Mucous Membrane,Babesiosis
98,Buffalo,Female,,,Anemia,,,Blood in urine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight loss,,,,Yellow/Pale Eyes,Yellow Mucous Membrane,Babesiosis
99,Buffalo,Female,,,Anemia,,,Blood in urine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight loss,,,,,,Babesiosis
101,Buffalo,Female,,,,,,Blood in urine,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babesiosis
254,Cattle,Male,,,Anemia,,,Blood in urine,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salivation or Excessive salivation,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight loss,,,,,,Babesiosis
255,Cattle,Male,,,,,,Blood in urine,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babesiosis
270,Cattle,Female,,,,,,Blood in urine,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babesiosis
419,Goat,Male,,,Anemia,,,Blood in urine,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salivation or Excessive salivation,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight loss,,,,,,Babesiosis
420,Goat,Male,,,,,,Blood in urine,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babesiosis
615,Goat,Female,,,Anemia,,,Blood in urine,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salivation or Excessive salivation,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight loss,,,,,,Babesiosis
616,Goat,Female,,,,,,Blood in urine,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babesiosis
708,Sheep,Male,,,,,,Blood in urine,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babesiosis
740,Sheep,Male,,,Anemia,,,Blood in urine,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salivation or Excessive salivation,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight loss,,,,,,Babesiosis
789,Sheep,Female,,,,,,Blood in urine,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Babesiosis
792,Sheep,Female,,,Anemia,,,Blood in urine,,,,,,,,,,,,,,,,,,,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight loss,,,,,,Babesiosis
,Buffalo,Female,,,0.9,,,,0.9,,,,,,,,0.9,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Babesiosis
,Buffalo,Female,,,,,0.9,0.9,,,,,,,,,0.9,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.9,,,,0.9,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.9,0.9,Babesiosis
,Buffalo,Female,,,,,,0.9,,,,,,,,,,,,,,,0.9,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,0.9,,,,,0.9,0.9,Babesiosis
,Cattle,Female,,,0.9,,0.9,,,,,,,,,,,,,,,,,,0.9,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.9,0.9,Babesiosis
,Buffalo ,Female,,0.9,,,,0.9,,,,,,,,,0.9,,,0.9,,,0.9,,0.9,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,Babesiosis
,Cattle,Female,,,0.9,,,0.9,,,,,,,0.9,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.9,0.9,Babesiosis
3,Buffalo,Male,,,,,,,,,,,,,,Crepitation,,,,,,,,,,,,,,,,Fever,,,,,,,,,,Lameness,,,,,,,,,,,,,,,,,,,,,Respiratory distress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
4,Buffalo,Male,,,,,,,,,,,,,,Crepitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
35,Buffalo,Male,,,,,,,,,,,,,,Crepitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Respiratory distress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
57,Buffalo,Female,,,,,,,,,,,,,,Crepitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
102,Buffalo,Female,,,,,,,,,,,,,,Crepitation,,,,,,,,,,,,,,,,Fever,,,,,,,,,,Lameness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
103,Buffalo,Female,,,,,,,,,,,,,,Crepitation,,,,Diarrhea,,,,,,Enlargement of lymph nodes,,,,,,Fever,,,,,,,,,,Lameness,,,,,Mouth frothing,,,,,,,,,,,,,,,,Respiratory distress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
104,Buffalo,Female,,,,,,,,,,,,,,Crepitation,,,,,,,,,,Enlargement of lymph nodes,,,,,,,,,,,,,,,,Lameness,,,,,Mouth frothing,,,,,,,,,,,,,,,,Respiratory distress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
105,Buffalo,Female,,,,,,,,,,,,,,Crepitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mouth frothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
106,Buffalo,Female,,,,,,,,,,,,,,Crepitation,,,,,,,,,,Enlargement of lymph nodes,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Respiratory distress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
219,Cattle,Male,,,,,,,,,,,,,,Crepitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
220,Cattle,Male,,,,,,,,,,,,,,Crepitation,,,,,,,,,,Enlargement of lymph nodes,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Respiratory distress,,,,,,,,,Sudden death,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
256,Cattle,Male,,,,,,,,,,,,,,Crepitation,,,,,,,,,,,,,,,,,,,,,,,,,,Lameness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudden death,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
257,Cattle,Male,,,,,,,,,,,,,,Crepitation,,,,,,,,,,Enlargement of lymph nodes,,,,,,,,,,,,,,,,Lameness,,,,,Mouth frothing,,,,,,,,,,,,,,,,Respiratory distress,,,,,,,,,Sudden death,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
258,Cattle,Male,,,,,,,,,,,,,,Crepitation,,,,,,,,,,Enlargement of lymph nodes,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Respiratory distress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
274,Cattle,Female,,,,,,,,,,,,,,Crepitation,,,,,,,,,,Enlargement of lymph nodes,,,,,,,,,,,,,,,,Lameness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
275,Cattle,Female,,,,,,,,,,,,,,Crepitation,,,,,,,,,,Enlargement of lymph nodes,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Respiratory distress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
276,Cattle,Female,,,,,,,,,,,,,,Crepitation,,,,,,,,,,Enlargement of lymph nodes,,,,,,Fever,,,,,,,,,,Lameness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
311,Cattle,Female,,,,,,,,,,,,,,Crepitation,,,,,,,,,,Enlargement of lymph nodes,,,,,,Fever,,,,,,,,,,Lameness,,,,,Mouth frothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
312,Cattle,Female,,,,,,,,,,,,,,Crepitation,,,,,,,,,,,,,,,,,,,,,,,,,,Lameness,,,,,Mouth frothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
313,Cattle,Female,,,,,,,,,,,,,,Crepitation,,,,,,,,,,Enlargement of lymph nodes,,,,,,,,,,,,,,,,,,,,,Mouth frothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
314,Cattle,Female,,,,,,,,,,,,,,Crepitation,,,,,,,,,,Enlargement of lymph nodes,,,,,,Fever,,,,,,,,,,Lameness,,,,,,,,,,,,,,,,,,,,,Respiratory distress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
315,Cattle,Female,,,,,,,,,,,,,,Crepitation,,,,,,,,,,Enlargement of lymph nodes,,,,,,Fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
,Cattle,Female,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
,Cattle,Male,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,0.9,,,,,0.9,,,,,,,Black Quarter
,Cattle,Female,,,,0.9,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.9,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.9,,,,,,Black Quarter
,Buffalo,Male,,,,,,,,,,,,,,0.9,0.9,,,,,,,,,,,,,,,0.3,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Quarter
,Buffalo,Male,,,,0.9,,,,,,,,,,0.9,0.9,,,,,,,,,,,,,,,0.9,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,0.9,,,,,,,,,,,,,,0.9,,,,,,,,,,,Black Quarter
,Cattle,Male,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,,,,,,,,,,,,Black Quarter
,Goat,Male,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caseous Lymphadenitis
107,Buffalo,Female,,,,,,,,,Change in diet,,,,,,,,,,,,,,,,,,,,,,Gas accumulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digestive System Disorder
108,Buffalo,Female,,,,,,,,,Change in diet,,,,,,,,,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digestive System Disorder
414,Goat,Male,,,,Anorexia,,,,,Change in diet,,,Cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digestive System Disorder
421,Goat,Male,,,,Anorexia,,,,,Change in diet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digestive System Disorder
487,Goat,Male,Abdominal Pain,,,,,,,,Change in diet,,,,,,,,,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digestive System Disorder
488,Goat,Male,,,,Anorexia,,,,,Change in diet,,,,,,,,,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digestive System Disorder
490,Goat,Male,,,,,,,,,Change in diet,,,,,,,,,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overfeeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digestive System Disorder
655,Goat,Female,Abdominal Pain,,,,,,,,Change in diet,,,,,,,,,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digestive System Disorder
709,Sheep,Male,,,,,,,,,Change in diet,,,,,,,,,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digestive System Disorder
741,Sheep,Male,,,,Anorexia,,,,,Change in diet,,,,,,,,,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overfeeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digestive System Disorder
,Sheep,Male,,,,,,,,,0.9,,0.9,,,,,,,0.9,,,,,,,0.9,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,Digestive System Disorder
